AUCKLAND PARTICIPACOES SA,AUCK11,200000000.0
AUCKLAND PARTICIPACOES SA,AUCK12,28500000.0
AUTO ADESIVOS PARANA SA,CCRR11,45000000.0
AUTO RICCI SA,RICI11,70000000.0
AUTOPISTA PLANALTO SUL S/A,APPS12,100000000.0
AUTOVIAS S/A,AVIA13,300000000.0
AUTOVIAS S/A,AVIA21,120000000.0
AVISTA SA ADMINISTRADORA DE CARTOES DE CREDITO,AVIS11,50000000.0
AXXIOM SOLUCOES TECNOLOGICAS SA,AXOM11,15000000.0
AZUL LINHAS AEREAS BRASILEIRAS SA,AZLA15,1000000000.0
AZUL LINHAS AEREAS BRASILEIRAS SA,AZLA16,200000000.0
BANDEIRANTE ENERGIA S/A,EBEN15,300000000.0
BANDEIRANTE ENERGIA S/A,EBEN16,100000000.0
BARAO DE TEFE SPE EMPREENDIMENTOS IMOBILIARIOS SA,TFSPA1,2393615.0
BARAO DE TEFE SPE EMPREENDIMENTOS IMOBILIARIOS SA,TFSPB1,3158598.0
BARAO DE TEFE SPE EMPREENDIMENTOS IMOBILIARIOS SA,TFSPC1,2184213.0
BARAO DE TEFE SPE EMPREENDIMENTOS IMOBILIARIOS SA,TFSPD1,504478.0
BARAO DE TEFE SPE EMPREENDIMENTOS IMOBILIARIOS SA,TFSPE1,504478.0
BARAO DE TEFE SPE EMPREENDIMENTOS IMOBILIARIOS SA,TFSPF1,504478.0
BARAO DE TEFE SPE EMPREENDIMENTOS IMOBILIARIOS SA,TFSPG1,2136007.0
BARAO DE TEFE SPE EMPREENDIMENTOS IMOBILIARIOS SA,TFSPH1,1116914.0
BARAO DE TEFE SPE EMPREENDIMENTOS IMOBILIARIOS SA,TFSPI1,1116914.0
BARAO DE TEFE SPE EMPREENDIMENTOS IMOBILIARIOS SA,TFSPJ1,1116914.0
BARAO DE TEFE SPE EMPREENDIMENTOS IMOBILIARIOS SA,TFSPK1,1116914.0
BARAO DE TEFE SPE EMPREENDIMENTOS IMOBILIARIOS SA,TFSPL1,1116914.0
BARAO DE TEFE SPE EMPREENDIMENTOS IMOBILIARIOS SA,TFSPM1,1350543.0
BARAO DE TEFE SPE EMPREENDIMENTOS IMOBILIARIOS SA,TFSPN1,1350543.0
BARAO DE TEFE SPE EMPREENDIMENTOS IMOBILIARIOS SA,TFSPO1,1350543.0
BARAO DE TEFE SPE EMPREENDIMENTOS IMOBILIARIOS SA,TFSPP1,670148.0
BARAO DE TEFE SPE EMPREENDIMENTOS IMOBILIARIOS SA,TFSPQ1,670148.0
BARAO DE TEFE SPE EMPREENDIMENTOS IMOBILIARIOS SA,TFSPR1,459447.0
BARAO DE TEFE SPE EMPREENDIMENTOS IMOBILIARIOS SA,TFSPS1,1004691.0
BARAO DE TEFE SPE EMPREENDIMENTOS IMOBILIARIOS SA,TFSPT1,1000.0
BATTISTELLA ADMINISTRACAO E PARTICIPACOES S/A,BTTP13,120000000.0
BB LEASING S/A ARREND MERCANTIL,BBLS12,20000000000.0
BB LEASING S/A ARREND MERCANTIL,BBLS13,20000000000.0
BCBF PARTICIPACOES SA,BCBF11,400000000.0
BCLV COMERCIO DE VEICULOS SA,BCLV11,50000000.0
BELO MONTE TRANSMISSORA DE ENERGIA SPE SA,BMTE11,203000000.0
BELO MONTE TRANSMISSORA DE ENERGIA SPE SA,BMTE21,200000000.0
BEMATECH S/A,BEMA11,50000000.0
BHG SA - BRAZIL HOSPITALITY GROUP,BHGR13,400000000.0
BINGEN SECURITIZADORA S/A,BGEN11,42000000.0
BIOFLEX AGROINDUSTRIAL SA,BFLE11,80000000.0
BK BRASIL OPERACAO E ASSESSORIA A RESTAURANTES S/A,BKBR11,150000000.0
BK BRASIL OPERACAO E ASSESSORIA A RESTAURANTES S/A,BKBR12,100000000.0
BK BRASIL OPERACAO E ASSESSORIA A RESTAURANTES S/A,BKBR13,100000000.0
BK BRASIL OPERACAO E ASSESSORIA A RESTAURANTES S/A,BKBR16,80000000.0
BM EMPREENDIMENTOS E PARTICIPACOES SPE SA,BMEP11,35000000.0
BM EMPREENDIMENTOS E PARTICIPACOES SPE SA,BMEP21,20000000.0
BM EMPREENDIMENTOS E PARTICIPACOES SPE SA,BMEP31,20000000.0
BM EMPREENDIMENTOS E PARTICIPACOES SPE SA,BMEP41,20000000.0
BM EMPREENDIMENTOS E PARTICIPACOES SPE SA,BMEP51,15000000.0
BMCHYUNDAI SA,MBHY11,140000000.0
BNDES PARTICIPACOES S/A - BNDESPAR,BNDP36,1289000000.0
BNDES PARTICIPACOES S/A - BNDESPAR,BNDS35,525000000.0
BOA VISTA SERVICOS SA,BOAV11,75000000.0
BOA VISTA SERVICOS SA,BOAV12,40000000.0
BOA VISTA SERVICOS SA,BOAV22,40000000.0
BORGATO MAQUINAS S/A,BORG12,30000000.0
BORGATO MAQUINAS S/A,COBO11,30000000.0
BR MALLS PARTICIPACOES S/A,BRML12,165750000.0
BR MALLS PARTICIPACOES S/A,BRML13,420000000.0
BR MALLS PARTICIPACOES S/A,BRML22,239250000.0
BR PROPERTIES SA,BRPR11,369036000.0
BR PROPERTIES SA,BRPR14,400000000.0
BR PROPERTIES SA,BRPR15,500000000.0
BR PROPERTIES SA,BRPR21,230964000.0
BR TOWERS SPE1   SA,TOWE12,300000000.0
BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL,BRAM11,4000000000.0
BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL,BRAM13,4050000000.0
BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL,BRAM14,8775000000.0
BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL,BRAM15,6750000000.0
BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL,BRAM16,4750000000.0
BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL,BRAM26,4750000000.0
BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL,BRAMA7,990000000.0
