Código do Ativo;Empresa;Série;Emissão;IPO;Situação;ISIN;Registro CVM da Emissão;Data de Registro CVM da Emissão;Registro CVM do Programa;Data de Registro CVM do Programa;Data de Emissão; Data de Vencimento;Motivo de Saída ;Data de Saída / Novo Vencimento; Data do Início da Rentabilidade;Data do Início da Distribuição;Data da Próxima Repactuação;Ato Societário (1);Data do Ato (1);Ato Societário (2);Data do Ato (2);Forma;Garantia/Espécie;Classe;Quantidade Emitida;Artigo 14º;Artigo 24º;Quantidade em Mercado;Quantidade em Tesouraria;Quantidade Resgatada;Quantidade  Cancelada;Quantidade Convertida no SND;Quantidade Convertida fora do SND;Quantidade Permutada no SND;Quantidade Permutada fora do SND;Unidade Monetária;Valor Nominal na Emissão;Unidade Monetária;Valor Nominal Atual;Data Últ VNA;Índice;Tipo;Critério de Cálculo;Dia de Referência para Índice de Preços;Critério para Índice;Corrige a cada;Percentual Multiplicador/Rentabilidade;Limite da TJLP;Tipo de Tratamento do Limite da TJLP;Juros Critério Antigo do SND;Prêmios Critério Antigo do SND;Amortização - Taxa;Amortização - Cada;Amortização - Unidade;Amortização - Carência;Amortização - Critério;Tipo de Amortização;Juros Critério Novo - Taxa;Juros Critério Novo - Prazo;Juros Critério Novo - Cada;Juros Critério Novo - Unidade;Juros Critério Novo - Carência;Juros Critério Novo - Critério;Juros Critério Novo - Tipo;Prêmio Critério Novo - Taxa;Prêmio Critério Novo - Prazo;Prêmio Critério Novo - Cada;Prêmio Critério Novo - Unidade;Prêmio Critério Novo - Carência;Prêmio Critério Novo - Critério;Prêmio Critério Novo - Tipo;Participação - Taxa;Participação - Cada;Participação - Unidade;Participação - Carência;Participação - Descrição;Rating1;Agência Classificadora;Rating2;Agência Classificadora;Rating3;Agência Classificadora;Banco Mandatário;Agente Fiduciário;Instituição Depositária;Coordenador Líder;CNPJ;Deb Incent (Lei 12431);Escritura Padronizada;Resgate Antecipado
BTYS11;GLOBENET CABOS SUBMARINOS SA;'ÚNI;'001;ND;Registrado;BRBTGYDBS002;DISPENSA ICVM 476/09;16/01/2014;;;17/01/2014;16/01/2024; - - - - - - ;;17/01/2014;17/01/2014;-;AGE;26/11/2013;AGE;15/01/2014;Escritural;Real;Simples;2720;0,;0,;2720;0;0;0,;0,;0;0,;0;R$;234,700,000,000;R$;205,362,500,000;21/07/2016;DI;  - ;Padrão - SND;;-;;100,00;0,000;-;;;-;-;-;-;-;Percentual variável sobre o valor nominal de emissão em períodos não uniformes;27,000;252;0,;DIA;17/07/2014;Útil;Exponencial;0,0000;0,;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO BRADESCO S/A;PLANNER TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;BANCO BRADESCO S/A;BANCO BRADESCO BBI S/A;2.93407E+12;N; n ;
BVLS14;BV LEASING ARRENDAMENTO MERCANTIL SA;'001;'004;Não;Registrado;BRBVLSDBS059;CVM/SRE/DEB-2007/019;19/07/2007;CVM/SRE/PRO-2006/010;08/12/2006;01/07/2007;01/07/2027; - - - - - - ;;01/07/2007;-;-;AGE;27/11/2006;RCA;26/06/2007;Escritural;Subordinada;Simples;300000;0;0;230489;69511;0;0;0,;0;0,;0;R$;10,000,000,000;R$;10,000,000,000;21/07/2016;DI;Integrante de Juros;Padrão - SND;;-;   ;100,00;0,000;-;;;-;-;-;-;-;-;0,0000;0,;0,;-;01/07/2027;-;Linear;0,0000;0;0,;0 0;-;-;-;0,0000;0;-;-;-;;;;;;;BANCO BRADESCO S/A;INTL FCSTONE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;BANCO BRADESCO S/A;BCO VOTORANTIM S/A;1.85877E+12;N; n ;
BVLS15;BV LEASING ARRENDAMENTO MERCANTIL SA;'ÚNI;'005;ND;Registrado;BRBVLSDBS083;DISPENSA ICVM 476/09;07/12/2011;;;08/12/2011;08/12/2021; - - - - - - ;;08/12/2011;-;-;RCA;29/11/2011;;;Escritural;Quirografária;Simples;1500000;0,;0,;1500000;0;0;0;0,;0;0,;0;R$;1,000,000,000;R$;1,000,000,000;21/07/2016;DI;Integrante de Juros;Padrão - SND;;-;   ;111,00;0,000;-;;;-;-;-;-;-;-;0,0000;0,;6;MES;08/06/2012;-;Linear;0,0000;0;0,;0 0;-;-;-;0,0000;0;-;-;-;;;;;;;BANCO BRADESCO S/A;PLANNER CV S/A;BANCO BRADESCO S/A;BCO VOTORANTIM S/A;1.85877E+12;N; n ;
BVLS21;BV LEASING ARRENDAMENTO MERCANTIL SA;'002;'001;Não;Registrado;BRBVLSDBS018;CVM/SRE/DEB-2006/016;23/06/2006;;;20/04/2006;20/04/2026; - - - - - - ;;20/04/2006;-;-;AGE;05/06/2006;RCA;14/06/2006;Escritural;Subordinada;Simples;200000;0,;0,;158392;41608;0;0;0,;0;0,;0;R$;10,000,000,000;R$;10,000,000,000;21/07/2016;DI;Integrante de Juros;Padrão - SND;;-;   ;100,00;0,000;-;;;-;-;-;-;-;-;0,0000;0,;0,;-;20/04/2026;-;Linear;0,0000;0;0,;0 0;-;-;-;0,0000;0;-;-;-;;;;;;;BANCO BRADESCO S/A;SIMPLIFIC PAVARINI DTVM LTDA;BANCO BRADESCO S/A;BCO VOTORANTIM S/A;1.85877E+12;N; n ;
BVLS24;BV LEASING ARRENDAMENTO MERCANTIL SA;'002;'004;Não;Registrado;BRBVLSDBS067;CVM/SRE/DEB-2007/020;19/07/2007;CVM/SRE/PRO-2006/010;08/12/2006;01/07/2007;01/07/2022; - - - - - - ;;01/07/2012;-;-;AGE;27/11/2006;RCA;26/06/2007;Escritural;Subordinada;Simples;100000;0;0;100000;0;0;0;0,;0;0,;0;R$;10,000,000,000;R$;10,000,000,000;21/07/2016;DI;Integrante de Juros;Padrão - SND;;-;   ;100,00;0,000;-;;;-;-;-;-;-;-;0,0000;0,;0,;-;01/07/2022;-;Linear;0,0000;0;0,;0 0;-;-;-;0,0000;0;-;-;-;;;;;;;BANCO BRADESCO S/A;INTL FCSTONE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;BANCO BRADESCO S/A;BCO VOTORANTIM S/A;1.85877E+12;N; n ;
BVSA12;BV LEASING ARRENDAMENTO MERCANTIL SA;'ÚNI;'002;Não;Registrado;BRBVLSDBS034;CVM/SRE/DEB-2006/043;08/12/2006;CVM/SRE/PRO-2006/010;08/12/2006;01/11/2006;01/11/2026; - - - - - - ;;01/11/2006;-;-;AGE;27/11/2006;;;Escritural;Subordinada;Simples;12000;0;0;5125;6875;0;0;0,;0;0,;0;R$;500,000,000,000;R$;500,000,000,000;21/07/2016;DI;Integrante de Juros;Padrão - SND;;-;   ;100,00;0,000;-;;;-;-;-;-;-;-;0,0000;0,;0,;-;01/11/2026;-;Linear;0,0000;0;0,;0 0;-;-;-;0,0000;0;-;-;-;;;;;;;ITAU UNIBANCO SA;PENTAGONO S/A DTVM;ITAU UNIBANCO S/A;BCO VOTORANTIM S/A;1.85877E+12;N; n ;
CABA11;CIA DE AGUAS DO BRASIL - CAB AMBIENTAL;'ÚNI;'001;ND;Registrado;BRCABBDBS009;DISPENSA ICVM 476/09;27/06/2013;;;28/06/2013;28/06/2020; - - - - - - ;;28/06/2013;28/06/2013;-;AGE;11/06/2013;RCA;11/06/2013;Escritural;Quirografária;Simples;100000;0,;0,;100000;0;0;0,;0,;0;0,;0;R$;1,000,000,000;R$;800,000,000;21/07/2016;PRÉ;Integrante de Juros;Padrão - SND;;-;;0,00;0,000;-;;;200,000;12;MES;28/06/2016;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;121,600;252;12;MES;28/06/2014;Útil;Exponencial;0,0000;0,;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO BRADESCO S/A;PENTAGONO S/A DTVM;BANCO BRADESCO S/A;HSBC CORRETORA DE TITULOS E VALORES MOBILIARIOS S/A;8.15997E+12;N; n ;
CABC11;CAB CUIABA S/A  -  CONCESSIONARIA DE SERVICOS PUBLICOS DE AGUA E ESGOTO;'ÚNI;'001;ND;Registrado;BRCABCDBS015;DISPENSA ICVM 476/09;30/10/2014;;;15/09/2014;15/09/2024; - - - - - - ;;31/10/2014;07/10/2014;-;AGE;08/09/2014;;;Escritural;Real;Simples;17950;0,;0,;17950;0;0;0,;0,;0;0,;0;R$;10,000,000,000;R$;12,317,353,640;21/07/2016;DI;  - ;Padrão - SND;;DU;;100,00;0,000;-;;;-;6;MES;15/09/2016;-;Percentual variável sobre o valor nominal de emissão em períodos uniformes;30,000;;6;MES;15/03/2016;-;Exponencial;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO BRADESCO S/A;PENTAGONO S/A DTVM;BANCO BRADESCO S/A;BCO VOTORANTIM S/A;1.49956E+13;N; n ;
CADR13;EMPRESA DE ENERGIA CACHOEIRA CALDEIRAO SA;'ÚNI;'003;ND;Registrado;BRCADRDBS027;DISPENSA ICVM 476/09;30/01/2015;;;15/12/2014;15/06/2030; - - - - - - ;;15/12/2014;26/01/2015;-;AGE;27/11/2014;;;Escritural;Quirografária;Simples;15650;0,;0,;15650;0;0;0,;0,;0;0,;0;R$;10,000,000,000;R$;11,656,133,800;21/07/2016;IPCA;  - ;Padrão - SND;15;-;;0,00;0,000;-;;;-;6;MES;15/12/2017;-;Percentual variável sobre o valor nominal atualizado em períodos uniformes;72,743;252;6;MES;15/06/2017;Útil;Exponencial;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO CITIBANK S/A;PENTAGONO S/A DTVM;BANCO CITIBANK S/A;BANCO BTG PACTUAL S/A;1.72009E+13;S; n ;
CADS12;CANDEIAS ENERGIA SA;'001;'002;ND;Registrado;BRCADSDBS009;DISPENSA ICVM 476/09;02/07/2014;;;23/05/2014;23/05/2019; - - - - - - ;;23/05/2014;03/07/2014;-;AGE;22/05/2014;;;Escritural;Quirografária;Simples;10500;0,;0,;10500;0;0;0,;0,;0;0,;0;R$;10,000,000,000;R$;6,485,000,000;21/07/2016;DI;  - ;Padrão - SND;;-;;100,00;0,000;-;;;18,500;1;MES;23/12/2014;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;20,500;252;1;MES;23/12/2014;Útil;Exponencial;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;ITAU UNIBANCO SA;PLANNER TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;ITAU CV S/A;BANCO ITAU-BBA S/A;9.49782E+12;N; n ;
CADS22;CANDEIAS ENERGIA SA;'002;'002;ND;Registrado;BRCADSDBS017;DISPENSA ICVM 476/09;02/07/2014;;;23/05/2014;23/05/2019; - - - - - - ;;23/05/2014;03/07/2014;-;AGE;22/05/2014;;;Escritural;Quirografária;Simples;6000;0,;0,;0;0;0;0,;0,;0;0,;0;R$;10,000,000,000;R$;6,485,000,000;21/07/2016;DI;  - ;Padrão - SND;;-;;100,00;0,000;-;;;18,500;1;MES;23/12/2014;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;20,500;252;1;MES;23/12/2014;Útil;Exponencial;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;ITAU UNIBANCO SA;PLANNER TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;ITAU CV S/A;BANCO ITAU-BBA S/A;9.49782E+12;N; n ;
CAES11;COMPANHIA ADMINISTRADORA DE EMPREENDIMENTOS E SERVICOS;'ÚNI;'001;ND;Registrado;BRCAESDBS007;DISPENSA ICVM 476/09;17/12/2013;;;18/12/2013;18/12/2023; - - - - - - ;;18/12/2013;18/12/2013;-;AGE;29/11/2013;;;Escritural;Quirografária;Simples;1500;0,;0,;1500;0;0;0,;0,;0;0,;0;R$;10,000,000,000;R$;10,000,000,000;21/07/2016;DI;  - ;Padrão - SND;;-;;100,00;0,000;-;;;83,333;6;MES;18/06/2018;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;34,000;252;6;MES;18/12/2016;Útil;Exponencial;0,0000;0,;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO BRADESCO S/A;PLANNER TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;BANCO BRADESCO S/A;BB BCO DE INVESTIMENTO S/A;7.87895E+12;N; n ;
CAET12;CENTRAIS EOLICAS DE CAETITE PARTICIPACOES S/A;'ÚNI;'002;ND;Registrado;BRCEOLDBS011;DISPENSA ICVM 476/09;29/12/2015;;;15/10/2015;15/12/2028; - - - - - - ;;15/10/2015;30/12/2015;-;AGE;21/12/2015;AGE;28/12/2015;Escritural;Quirografária;Simples;33500;0,;0,;33500;0;0;0,;0,;0;0,;0;R$;1,000,000,000;R$;1,139,388,535;21/07/2016;IPCA;  - ;Padrão - SND;15;-;;0,00;0,000;-;;;-;6;MES;15/12/2016;-;Percentual variável sobre o valor nominal atualizado em períodos uniformes;93,128;252;6;MES;15/06/2016;Útil;Exponencial;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;ITAU UNIBANCO SA;PLANNER TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;ITAU CV S/A;BANCO SANTANDER BRASIL SA;9.34134E+12;S; n ;
CALO11;CALOI NORTE SA;'ÚNI;'001;ND;Registrado;BRCNORDBS001;DISPENSA ICVM 476/09;17/04/2014;;;21/03/2014;21/03/2019; - - - - - - ;;22/04/2014;22/04/2014;-;AGE;18/03/2014;;;Escritural;Quirografária;Simples;100000;0,;0,;100000;0;0;0,;0,;0;0,;0;R$;1,000,000,000;R$;857,500,000;21/07/2016;DI;  - ;Padrão - SND;;-;;100,00;0,000;-;;;142,500;6;MES;21/03/2016;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;23,000;252;6;MES;21/09/2014;Útil;Exponencial;0,0000;0,;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO CITIBANK S/A;PENTAGONO S/A DTVM;BANCO CITIBANK S/A;HSBC CORRETORA DE TITULOS E VALORES MOBILIARIOS S/A;4.30102E+12;N; n ;
CAML12;CAMIL ALIMENTOS S/A;'001;'002;ND;Registrado;BRCAMLDBS013;DISPENSA ICVM 476/09;13/02/2012;;;19/01/2012;19/01/2017; - - - - - - ;;14/02/2012;-;-;RCA;20/01/2012;;;Escritural;Quirografária;Simples;300;0,;0,;300;0;0;0;0,;0;0,;0;R$;1,000,000,000,000;R$;166,665,000,000;21/07/2016;DI;Integrante de Juros;Padrão - SND;;-;   ;100,00;0,000;-;;;166,667;6;MES;19/07/2014;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;15,500;252;6;MES;19/07/2012;Útil;Exponencial;0,0000;0;0,;0 0;-;-;-;0,0000;0;-;-;-;;;;;;;BANCO BRADESCO S/A;PLANNER TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;BANCO BRADESCO S/A;BANCO BRADESCO BBI S/A;6.49043E+13;N; n ;
CAML14;CAMIL ALIMENTOS S/A;'ÚNI;'004;ND;Registrado;BRCAMLDBS039;DISPENSA ICVM 476/09;18/07/2014;;;15/03/2014;15/03/2019; - - - - - - ;;21/07/2014;21/07/2014;-;RCA;03/07/2014;;;Escritural;Quirografária;Simples;200;0,;0,;200;0;0;0,;0,;0;0,;0;R$;1,000,000,000,000;R$;1,000,000,000,000;21/07/2016;DI;  - ;Padrão - SND;;-;;100,00;0,000;-;;;250,000;6;MES;15/09/2017;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;13,000;252;6;MES;15/09/2014;Útil;Exponencial;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO CITIBANK S/A;PLANNER TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;BANCO CITIBANK S/A;BANCO BRADESCO BBI S/A;6.49043E+13;N; n ;
CAML22;CAMIL ALIMENTOS S/A;'002;'002;ND;Registrado;BRCAMLDBS021;DISPENSA ICVM 476/09;13/02/2012;;;19/01/2012;19/01/2017; - - - - - - ;;14/02/2012;-;-;RCA;20/01/2012;;;Escritural;Quirografária;Simples;150;0,;0,;150;0;0;0;0,;0;0,;0;R$;1,000,000,000,000;R$;166,665,000,000;21/07/2016;DI;Integrante de Juros;Padrão - SND;;-;   ;100,00;0,000;-;;;166,667;6;MES;19/07/2014;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;15,500;252;3;MES;19/04/2012;Útil;Exponencial;0,0000;0;0,;0 0;-;-;-;0,0000;0;-;-;-;;;;;;;BANCO BRADESCO S/A;PLANNER TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;BANCO BRADESCO S/A;BANCO BRADESCO BBI S/A;6.49043E+13;N; n ;
CANT12;ANDRADE GUTIERREZ PARTICIPACOES SA;'001;'002;ND;Registrado;BRCANTDBS014;DISPENSA ICVM 476/09;27/06/2012;;;15/06/2012;15/06/2017; - - - - - - ;;15/06/2012;-;-;AGE;08/05/2012;;;Escritural;Quirografária;Simples;8294;0,;0,;5554;0;0;0;0,;0;0,;0;R$;10,000,000,000;R$;4,101,743,819;21/07/2016;DI;Integrante de Juros;Não Padrão - SND;;-;   ;100,00;0,000;-;2,9000% aa 252 dias;;-;-;-;-;;Percentual variável sobre o valor nominal de emissão em períodos não uniformes;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;BANCO BRADESCO S/A;PENTAGONO S/A DTVM;BANCO BRADESCO S/A;BANCO SANTANDER BRASIL SA;4.03196E+12;N; n ;
CANT22;ANDRADE GUTIERREZ PARTICIPACOES SA;'002;'002;ND;Registrado;BRCANTDBS022;DISPENSA ICVM 476/09;27/06/2012;;;15/06/2012;15/06/2019; - - - - - - ;;15/06/2012;-;-;AGE;08/05/2012;;;Escritural;Quirografária;Simples;7845;0,;0,;5795;0;0;0;0,;0;0,;0;R$;10,000,000,000;R$;8,659,937,902;21/07/2016;DI;Integrante de Juros;Não Padrão - SND;;DU;   ;100,00;0,000;-;3,0000% uti;;-;-;-;-;;Percentual variável sobre o valor nominal de emissão em períodos não uniformes;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;BANCO BRADESCO S/A;PENTAGONO S/A DTVM;BANCO BRADESCO S/A;BANCO SANTANDER BRASIL SA;4.03196E+12;N; n ;
CANT32;ANDRADE GUTIERREZ PARTICIPACOES SA;'003;'002;ND;Registrado;BRCANTDBS030;DISPENSA ICVM 476/09;27/06/2012;;;15/06/2012;15/06/2022; - - - - - - ;;15/06/2012;-;-;AGE;08/05/2012;;;Escritural;Quirografária;Simples;47806;0,;0,;46429;0;0;0;0,;0;0,;0;R$;10,000,000,000;R$;10,254,161,540;21/07/2016;IPCA;Correção Monetária;Não Padrão - SND;;-;   ;0,00;0,000;-;9,8000% aa 252 dias;;-;-;-;-;;Percentual variável sobre o valor nominal atualizado em períodos não uniformes;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;BANCO BRADESCO S/A;PENTAGONO S/A DTVM;BANCO BRADESCO S/A;BANCO SANTANDER BRASIL SA;4.03196E+12;N; n ;
CAPE11;CAPUCHE EMPREENDIMENTOS IMOBILIARIOS S/A;'ÚNI;'001;ND;Registrado;BRCAPUDBS009;DISPENSA ICVM 476/09;28/03/2011;;;25/03/2011;25/06/2018; - - - - - - ;;25/03/2011;-;-;AGE;16/03/2011;;;Escritural;Real;Simples;3700;0,;0,;3700;0;0;0;0,;0;0,;0;R$;10,000,000,000;R$;5,000,000,000;21/07/2016;DI;Integrante de Juros;Padrão - SND;;-;   ;100,00;0,000;-;;;62,500;3;MES;25/09/2014;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;50,000;252;6;MES;25/09/2011;Útil;Exponencial;0,0000;0;0,;0 0;-;-;-;0,0000;0;-;-;-;;;;;;;BANCO BRADESCO S/A;PETRA PERSONAL TRADER CTVM S/A;BANCO BRADESCO S/A;BANCO DO NORDESTE DO BRASIL S/A;7.01423E+13;N; n ;
CART12;CONCESSIONARIA AUTO RAPOSO TAVARES S/A;'001;'002;ND;Registrado;BRRPTADBS017;CVM/SRE/DEB/2012/038;21/12/2012;;;15/12/2012;15/12/2024; - - - - - - ;;15/12/2012;-;-;AGE;09/11/2012;;;Escritural;Quirografária;Simples;380000;0;0;372657;0;0;0;0,;0;0,;0;R$;1,000,000,000;R$;1,303,191,182;21/07/2016;IPCA;Correção Monetária;Padrão - SND;15;-;   ;0,00;0,000;-;;;-;12;MES;15/12/2015;-;Percentual variável sobre o valor nominal atualizado em períodos uniformes;58,000;252;12;MES;15/12/2013;Útil;Exponencial;0,0000;0;0,;0 0;-;-;-;0,0000;0;-;-;-;;;;;;;BANCO BRADESCO S/A;PENTAGONO S/A DTVM;BANCO BRADESCO S/A;BANCO BRADESCO BBI S/A;1.05315E+13;S; n ;
CART22;CONCESSIONARIA AUTO RAPOSO TAVARES S/A;'002;'002;ND;Registrado;BRRPTADBS025;CVM/SRE/DEB/2012/039;21/12/2012;;;15/12/2012;15/12/2024; - - - - - - ;;15/12/2012;-;-;AGE;09/11/2012;;;Escritural;Quirografária;Simples;370000;0;0;370000;0;0;0;0,;0;0,;0;R$;1,000,000,000;R$;1,303,191,182;21/07/2016;IPCA;Correção Monetária;Padrão - SND;15;-;   ;0,00;0,000;-;;;-;12;MES;15/12/2015;-;Percentual variável sobre o valor nominal atualizado em períodos uniformes;60,500;252;12;MES;15/12/2013;Útil;Exponencial;0,0000;0;0,;0 0;-;-;-;0,0000;0;-;-;-;;;;;;;BANCO BRADESCO S/A;PENTAGONO S/A DTVM;BANCO BRADESCO S/A;BANCO BRADESCO BBI S/A;1.05315E+13;N; n ;
CARU11;CARUANA S/A PARTICIPACOES E EMPREENDIMENTOS;'ÚNI;'001;ND;Registrado;BRCRUNDBS008;DISPENSA ICVM 476/09;28/01/2015;;;19/12/2014;19/07/2020; - - - - - - ;;19/12/2014;29/01/2015;-;AGE;15/12/2014;;;Escritural;Real;Simples;100;0,;0,;100;0;0;0,;0,;0;0,;0;R$;100,000,000,000;R$;100,000,000,000;21/07/2016;DI;  - ;Padrão - SND;;-;;100,00;0,000;-;;;-;-;-;-;-;-;10,000;252;12;MES;30/06/2016;Útil;Exponencial;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;;PLANNER CV S/A;OLIVEIRA TRUST DTVM  S/A;XP INVESTIMENTOS CCTVM S/A;7.88266E+12;N; n ;
CASN11;COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN;'001;'001;ND;Registrado;BRCASNDBS008;DISPENSA ICVM 476/09;05/01/2016;;;09/12/2015;09/12/2020; - - - - - - ;;06/01/2016;06/01/2016;-;RCA;29/09/2015;;;Escritural;Real;Simples;8333;0,;0,;8333;0;0;0,;0,;0;0,;0;R$;10,000,000,000;R$;10,000,000,000;21/07/2016;TJLP;  - ;Não Padrão - SND;;DC;;0,00;0,000;-;11,9500% aa 360 dias;;27,027;-;MES;09/12/2017;;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;;;;;;;;;;;;;;;-;0,;-;-;-;;;;;;;ITAU UNIBANCO SA;OLIVEIRA TRUST DTVM SA;ITAU CV S/A;BANCO SANTANDER BRASIL SA;8.25084E+13;N; n ;
CASN21;COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN;'002;'001;ND;Registrado;BRCASNDBS016;DISPENSA ICVM 476/09;28/12/2015;;;09/12/2015;09/12/2020; - - - - - - ;;29/12/2015;29/12/2015;-;RCA;29/09/2015;;;Escritural;Real;Simples;16665;0,;0,;16665;0;0;0,;0,;0;0,;0;R$;10,000,000,000;R$;10,000,000,000;21/07/2016;DI;  - ;Não Padrão - SND;;-;;100,00;0,000;-;3,5000% aa 252 dias;;27,027;-;MES;09/12/2017;;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;;;;;;;;;;;;;;;-;0,;-;-;-;;;;;;;ITAU UNIBANCO SA;OLIVEIRA TRUST DTVM SA;ITAU CV S/A;BANCO SANTANDER BRASIL SA;8.25084E+13;N; n ;
CASN31;COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN;'003;'001;ND;Registrado;BRCASNDBS024;DISPENSA ICVM 476/09;05/01/2016;;;09/12/2015;09/12/2020; - - - - - - ;;06/01/2016;06/01/2016;-;RCA;29/09/2015;;;Escritural;Real;Simples;1667;0,;0,;1667;0;0;0,;0,;0;0,;0;R$;10,000,000,000;R$;10,000,000,000;21/07/2016;TJLP;  - ;Não Padrão - SND;;DC;;0,00;0,000;-;11,9500% aa 360 dias;;27,027;-;MES;09/12/2017;;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;;;;;;;;;;;;;;;-;0,;-;-;-;;;;;;;ITAU UNIBANCO SA;OLIVEIRA TRUST DTVM SA;ITAU CV S/A;BANCO SANTANDER BRASIL SA;8.25084E+13;N; n ;
CASN41;COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN;'004;'001;ND;Registrado;BRCASNDBS016;DISPENSA ICVM 476/09;28/12/2015;;;09/12/2015;09/12/2020; - - - - - - ;;29/12/2015;29/12/2015;-;RCA;29/09/2015;;;Escritural;Real;Simples;3335;0,;0,;3335;0;0;0,;0,;0;0,;0;R$;10,000,000,000;R$;10,000,000,000;21/07/2016;DI;  - ;Não Padrão - SND;;-;;100,00;0,000;-;3,5000% aa 252 dias;;27,027;-;MES;09/12/2017;;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;;;;;;;;;;;;;;;-;0,;-;-;-;;;;;;;ITAU UNIBANCO SA;OLIVEIRA TRUST DTVM SA;ITAU CV S/A;BANCO SANTANDER BRASIL SA;8.25084E+13;N; n ;
CAUJ12;COMPANHIA AGRICOLA USINA JACAREZINHO;'ÚNI;'002;ND;Registrado;BRJCRZDBS013;DISPENSA ICVM 476/09;25/09/2012;;;31/08/2012;31/08/2019; - - - - - - ;;31/08/2012;-;-;AGE;17/07/2012;AGE;17/08/2012;Escritural;Real;Simples;8220;0,;0,;8220;0;0;0;0,;0;0,;0;R$;10,000,000,000;R$;5,477,132,312;21/07/2016;DI;Integrante de Juros;Padrão - SND;;-;   ;100,00;0,000;-;;;-;1;MES;30/10/2014;-;Percentual variável sobre o valor nominal de emissão em períodos uniformes;40,000;252;1;MES;30/10/2014;Útil;Exponencial;0,0000;0;0,;0 0;-;-;-;0,0000;0;-;-;-;;;;;;;ITAU UNIBANCO SA;PLANNER TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;ITAU CV S/A;ITAU UNIBANCO SA;6.12315E+13;N; n ;
CBAN11;CONCESSIONARIA ROTA DAS BANDEIRAS S/A;'001;'001;ND;Registrado;BRCRBDDBS009;CVM/SRE/DEB-2010/026;28/07/2010;;;15/06/2010;15/01/2024; - - - - - - ;;15/06/2010;-;-;AGE;21/06/2010;;;Escritural;Subordinada;Simples;55000;0;0;55000;0;0;0;0,;0;0,;0;R$;10,000,000,000;R$;13,884,587,012;21/07/2016;IPCA;Correção Monetária;Padrão - SND;15;-;   ;0,00;0,000;-;;;-;12;MES;15/01/2013;-;Percentual variável sobre o valor nominal atualizado em períodos uniformes;95,700;252;12;MES;15/01/2012;Útil;Exponencial;0,0000;0;0,;0 0;-;-;-;0,0000;0;-;-;-;;;;;;;BANCO BRADESCO S/A;OLIVEIRA TRUST DTVM SA;BANCO BRADESCO S/A;BANCO SANTANDER BRASIL SA;1.0648E+13;N; n ;
