Data,DI,DOLAR,IGP-M,IPCA,PRÉ,TJLP,TR
2007-07-31,1.8,,,,,,
2007-08-31,1.7875,,,,,,
2007-09-30,1.775,,,,,,
2007-10-31,1.7625,,,,,,
2007-11-30,1.75,,,,,,
2007-12-31,1.2,,,7.96,,,
2008-01-31,0.65,,,7.78,,,
2008-02-29,0.6561538461538462,,,7.6,,,
2008-03-31,0.6623076923076924,,,7.42,,,
2008-04-30,0.6684615384615384,,,7.24,,,
2008-05-31,0.6746153846153846,,,7.0600000000000005,,,
2008-06-30,0.6807692307692308,,,6.88,,,
2008-07-31,0.686923076923077,,,6.7,,,
2008-08-31,0.6930769230769231,,,6.52,,,
2008-09-30,0.6992307692307692,,,6.34,,,
2008-10-31,0.7053846153846154,,,6.16,,,
2008-11-30,0.7115384615384616,,,5.98,,,
2008-12-31,0.7176923076923077,,,5.8,,,
2009-01-31,0.7238461538461539,,,5.62,,,
2009-02-28,0.73,,,5.4399999999999995,,,
2009-03-31,0.7361538461538462,,,5.26,,,
2009-04-30,0.7423076923076923,,,5.08,,,
2009-05-31,0.7484615384615385,,,4.9,,,
2009-06-30,0.7546153846153847,,,4.720000000000001,,,9.0
2009-07-31,0.7607692307692309,,,4.54,,,9.692
2009-08-31,0.7669230769230769,,,4.36,,,10.384
2009-09-30,0.7730769230769231,,,4.18,,,10.2956
2009-10-31,0.7792307692307693,,,4.0,,,10.2072
2009-11-30,0.7853846153846155,,,4.666666666666667,,,10.1188
2009-12-31,0.7915384615384615,,,5.333333333333333,,,10.0304
2010-01-31,0.7976923076923077,,,6.0,,,9.942
2010-02-28,0.8038461538461539,,,6.666666666666666,,,9.8536
2010-03-31,0.81,,,7.333333333333333,,,9.7652
2010-04-30,1.155,,,8.0,,,9.6768
2010-05-31,1.5,,,8.278333333333334,,,9.5884
2010-06-30,1.9666666666666666,,,8.556666666666667,,,9.5
2010-07-31,2.433333333333333,,,8.835,,,9.82845
2010-08-31,2.9,,,8.266516666666668,,,10.1569
2010-09-30,2.461666666666667,,,7.698033333333334,,,9.57845
2010-10-31,2.0233333333333334,,,7.12955,,,9.0
2010-11-30,2.0,,,7.37710625,,,8.625
2010-12-31,1.71,,,7.6246624999999995,,,8.25
2011-01-31,1.5,,,7.87221875,,,8.291666666666666
2011-02-28,3.25,,,8.119775,,,8.333333333333334
2011-03-31,5.0,,9.6,8.36733125,,,8.375
2011-04-30,2.3,,9.6,8.6148875,,,8.416666666666666
2011-05-31,2.0999999999999996,,9.6,8.862443749999999,,,8.458333333333334
2011-06-30,1.9,,9.6,9.11,,,8.5
2011-07-31,2.0374999999999996,,9.6,7.85,,,8.538461538461538
2011-08-31,2.175,,9.6,7.79,,,8.576923076923077
2011-09-30,2.7016666666666667,,9.6,7.73,,,8.615384615384615
2011-10-31,2.625,,9.6,8.32,,,8.653846153846153
2011-11-30,1.4733333333333334,,9.6,6.85,,,8.692307692307692
2011-12-31,1.7336666666666667,,9.6,8.47065,,,8.73076923076923
2012-01-31,1.15,,9.6,7.291475,,,8.76923076923077
2012-02-29,1.493809523809524,,9.6,6.1123,,,8.807692307692308
2012-03-31,1.4366666666666668,,9.6,6.404999999999999,,,8.846153846153847
2012-04-30,1.9449999999999998,,9.6,5.3999,,,8.884615384615385
2012-05-31,1.9241666666666666,,9.6,5.97495,,,8.923076923076923
2012-06-30,1.9033333333333333,,9.6,6.55,16.95,,8.961538461538462
2012-07-31,1.8406,,9.6,7.417033333333333,15.995,,9.0
2012-08-31,2.15625,,9.6,6.754979166666667,15.04,,9.034615384615385
2012-09-30,2.5285714285714285,,9.6,6.092925,14.085,,9.069230769230769
2012-10-31,1.6255000000000002,,9.6,5.8,13.13,5.0,9.103846153846154
2012-11-30,1.7052333333333332,,9.6,5.754166666666666,12.875,6.108333333333333,9.138461538461538
2012-12-31,2.190238095238095,,9.6,5.708333333333333,12.620000000000001,7.216666666666667,9.173076923076923
2013-01-31,2.8575,,9.6,7.5,12.365,8.325,9.207692307692307
2013-02-28,1.533611111111111,,9.6,4.778333333333333,12.11,9.433333333333334,9.242307692307692
2013-03-31,2.6833333333333336,,9.6,6.75,11.855,10.541666666666668,9.276923076923078
2013-04-30,2.4110000000000005,,9.6,6.5975,11.6,11.65,9.311538461538461
2013-05-31,1.6621428571428571,,9.6,6.16875,11.879999999999999,11.605172413793104,9.346153846153847
2013-06-30,2.041111111111111,,9.6,5.74,12.16,11.560344827586206,9.38076923076923
2013-07-31,1.9058333333333335,,9.6,6.03125,11.74,11.51551724137931,9.415384615384616
2013-08-31,1.775,,9.6,5.475,11.32,11.470689655172414,9.45
2013-09-30,1.8350000000000002,,9.6,6.5,10.9,11.425862068965518,9.484615384615385
2013-10-31,2.471111111111111,,9.6,7.010000000000001,14.0,11.38103448275862,9.51923076923077
2013-11-30,2.182,,9.6,7.2299999999999995,14.925,11.336206896551724,9.553846153846154
2013-12-31,2.4624242424242424,,9.6,8.419,15.85,11.291379310344828,9.588461538461539
2014-01-31,2.2199999999999998,,9.6,7.4795,15.916666666666666,11.24655172413793,9.623076923076923
2014-02-28,3.126428571428572,,9.6,6.54,15.983333333333333,11.201724137931034,9.657692307692308
2014-03-31,2.145625,,9.6,7.86,16.05,11.156896551724138,9.692307692307693
2014-04-30,2.0342857142857147,,9.6,7.354625,16.116666666666667,11.112068965517242,9.726923076923077
2014-05-31,2.5747222222222224,,9.6,7.8100000000000005,16.183333333333334,11.067241379310344,9.761538461538462
2014-06-30,2.3282133333333332,,9.6,8.2,16.25,11.022413793103448,9.796153846153846
