Código do Ativo;Empresa;Série;Emissão;IPO;Situação;ISIN;Registro CVM da Emissão;Data de Registro CVM da Emissão;Registro CVM do Programa;Data de Registro CVM do Programa;Data de Emissão; Data de Vencimento;Motivo de Saída ;Data de Saída / Novo Vencimento; Data do Início da Rentabilidade;Data do Início da Distribuição;Data da Próxima Repactuação;Ato Societário (1);Data do Ato (1);Ato Societário (2);Data do Ato (2);Forma;Garantia/Espécie;Classe;Quantidade Emitida;Artigo 14º;Artigo 24º;Quantidade em Mercado;Quantidade em Tesouraria;Quantidade Resgatada;Quantidade  Cancelada;Quantidade Convertida no SND;Quantidade Convertida fora do SND;Quantidade Permutada no SND;Quantidade Permutada fora do SND;Unidade Monetária;Valor Nominal na Emissão;Unidade Monetária;Valor Nominal Atual;Data Últ. VNA;Índice;Tipo;Critério de Cálculo;Dia de Referência para Índice de Preços;Critério para Índice;Corrige a cada;Percentual Multiplicador/Rentabilidade;Limite da TJLP;Tipo de Tratamento do Limite da TJLP;Juros Critério Antigo do SND;Prêmios Critério Antigo do SND;Amortização - Taxa;Amortização - Cada;Amortização - Unidade;Amortização - Carência;Amortização - Critério;Tipo de Amortização;Juros Critério Novo - Taxa;Juros Critério Novo - Prazo;Juros Critério Novo - Cada;Juros Critério Novo - Unidade;Juros Critério Novo - Carência;Juros Critério Novo - Critério;Juros Critério Novo - Tipo;Prêmio Critério Novo - Taxa;Prêmio Critério Novo - Prazo;Prêmio Critério Novo - Cada;Prêmio Critério Novo - Unidade;Prêmio Critério Novo - Carência;Prêmio Critério Novo - Critério;Prêmio Critério Novo - Tipo;Participação - Taxa;Participação - Cada;Participação - Unidade;Participação - Carência;Participação - Descrição;Rating1;Agência Classificadora;Rating2;Agência Classificadora;Rating3;Agência Classificadora;Banco Mandatário;Agente Fiduciário;Instituição Depositária;Coordenador Líder;CNPJ;Deb. Incent. (Lei 12.431);Escritura Padronizada;Resgate Antecipado
ABC42     ;PARTICIPACOES ABC S/A;'013;'001;ND;Excluído;BRPTABDBS0D2;SEP/GER/DEB - 95/058;19/07/1995;;;23/05/1995;Indeterminado;VENCIMENTO ANTECIPADO;;23/05/1997;24/07/1995;-;AGE;22/06/1995;;;Nominativa;Real;Permutável;44;0,;0,;0;0;0;0;0;0;0;0;R$;11.727,040000;R$;0,000000;23/09/2003;IGP-M;Correção Monetária;Não Padrão - SND;0;DC;0;0,00;0,000;-;0,0000% 000;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;SEM BANCO LIQUIDANTE/MANDATARIO;APORTE DTVM LTDA.;;ITAU UNIBANCO S.A.;6.35E+11;N; n ;
ABC43     ;PARTICIPACOES ABC S/A;'022;'001;ND;Excluído;BRPTABDBS0M3;SEP/GER/DEB - 95/067;19/07/1995;;;23/05/1995;Indeterminado;VENCIMENTO ANTECIPADO;;23/05/1997;24/07/1995;-;AGE;22/06/1995;;;Nominativa;Real;Permutável;44;0,;0,;0;0;0;0;0;0;0;0;R$;11.727,040000;R$;0,000000;23/09/2003;IGP-M;Correção Monetária;Não Padrão - SND;0;DC;0;0,00;0,000;-;0,0000% 000;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;SEM BANCO LIQUIDANTE/MANDATARIO;APORTE DTVM LTDA.;;ITAU UNIBANCO S.A.;6.35E+11;N; n ;
ABC51     ;PARTICIPACOES ABC S/A;'005;'001;ND;Excluído;BRPTABDBS052;SEP/GER/DEB - 95/050;19/07/1995;;;23/05/1995;Indeterminado;VENCIMENTO ANTECIPADO;;23/05/1997;24/07/1995;-;AGE;22/06/1995;;;Nominativa;Real;Permutável;44;0,;0,;0;0;0;0;0;0;0;0;R$;11.727,040000;R$;0,000000;23/09/2003;IGP-M;Correção Monetária;Não Padrão - SND;0;DC;0;0,00;0,000;-;0,0000% 000;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;SEM BANCO LIQUIDANTE/MANDATARIO;APORTE DTVM LTDA.;;ITAU UNIBANCO S.A.;6.35E+11;N; n ;
ABC52     ;PARTICIPACOES ABC S/A;'014;'001;ND;Excluído;BRPTABDBS0E0;SEP/GER/DEB - 95/059;19/07/1995;;;23/05/1995;Indeterminado;VENCIMENTO ANTECIPADO;;23/05/1997;24/07/1995;-;AGE;22/06/1995;;;Nominativa;Real;Permutável;44;0,;0,;0;0;0;0;0;0;0;0;R$;11.727,040000;R$;0,000000;23/09/2003;IGP-M;Correção Monetária;Não Padrão - SND;0;DC;0;0,00;0,000;-;0,0000% 000;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;SEM BANCO LIQUIDANTE/MANDATARIO;APORTE DTVM LTDA.;;ITAU UNIBANCO S.A.;6.35E+11;N; n ;
ABC61     ;PARTICIPACOES ABC S/A;'006;'001;ND;Excluído;BRPTABDBS060;SEP/GER/DEB - 95/051;19/07/1995;;;23/05/1995;Indeterminado;VENCIMENTO ANTECIPADO;;23/05/1997;24/07/1995;-;AGE;22/06/1995;;;Nominativa;Real;Permutável;44;0,;0,;0;0;0;0;0;0;0;0;R$;11.727,040000;R$;0,000000;23/09/2003;IGP-M;Correção Monetária;Não Padrão - SND;0;DC;0;0,00;0,000;-;0,0000% 000;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;SEM BANCO LIQUIDANTE/MANDATARIO;APORTE DTVM LTDA.;;ITAU UNIBANCO S.A.;6.35E+11;N; n ;
ABC62     ;PARTICIPACOES ABC S/A;'015;'001;ND;Excluído;BRPTABDBS0F7;SEP/GER/DEB - 95/060;19/07/1995;;;23/05/1995;Indeterminado;VENCIMENTO ANTECIPADO;;23/05/1997;24/07/1995;-;AGE;22/06/1995;;;Nominativa;Real;Permutável;44;0,;0,;0;0;0;0;0;0;0;0;R$;11.727,040000;R$;0,000000;23/09/2003;IGP-M;Correção Monetária;Não Padrão - SND;0;DC;0;0,00;0,000;-;0,0000% 000;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;SEM BANCO LIQUIDANTE/MANDATARIO;APORTE DTVM LTDA.;;ITAU UNIBANCO S.A.;6.35E+11;N; n ;
ABC71     ;PARTICIPACOES ABC S/A;'007;'001;ND;Excluído;BRPTABDBS078;SEP/GER/DEB - 95/052;19/07/1995;;;23/05/1995;Indeterminado;VENCIMENTO ANTECIPADO;;23/05/1997;24/07/1995;-;AGE;22/06/1995;;;Nominativa;Real;Permutável;44;0,;0,;0;0;0;0;0;0;0;0;R$;11.727,040000;R$;0,000000;23/09/2003;IGP-M;Correção Monetária;Não Padrão - SND;0;DC;0;0,00;0,000;-;0,0000% 000;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;SEM BANCO LIQUIDANTE/MANDATARIO;APORTE DTVM LTDA.;;ITAU UNIBANCO S.A.;6.35E+11;N; n ;
ABC72     ;PARTICIPACOES ABC S/A;'016;'001;ND;Excluído;BRPTABDBS0G5;SEP/GER/DEB - 95/061;19/07/1995;;;23/05/1995;Indeterminado;VENCIMENTO ANTECIPADO;;23/05/1997;24/07/1995;-;AGE;22/06/1995;;;Nominativa;Real;Permutável;44;0,;0,;0;0;0;0;0;0;0;0;R$;11.727,040000;R$;0,000000;23/09/2003;IGP-M;Correção Monetária;Não Padrão - SND;0;DC;0;0,00;0,000;-;0,0000% 000;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;SEM BANCO LIQUIDANTE/MANDATARIO;APORTE DTVM LTDA.;;ITAU UNIBANCO S.A.;6.35E+11;N; n ;
ABC81     ;PARTICIPACOES ABC S/A;'008;'001;ND;Excluído;BRPTABDBS086;SEP/GER/DEB - 95/053;19/07/1995;;;23/05/1995;Indeterminado;VENCIMENTO ANTECIPADO;;23/05/1997;24/07/1995;-;AGE;22/06/1995;;;Nominativa;Real;Permutável;44;0,;0,;0;0;0;0;0;0;0;0;R$;11.727,040000;R$;0,000000;23/09/2003;IGP-M;Correção Monetária;Não Padrão - SND;0;DC;0;0,00;0,000;-;0,0000% 000;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;SEM BANCO LIQUIDANTE/MANDATARIO;APORTE DTVM LTDA.;;ITAU UNIBANCO S.A.;6.35E+11;N; n ;
ABC82     ;PARTICIPACOES ABC S/A;'017;'001;ND;Excluído;BRPTABDBS0H3;SEP/GER/DEB - 95/062;19/07/1995;;;23/05/1995;Indeterminado;VENCIMENTO ANTECIPADO;;23/05/1997;24/07/1995;-;AGE;22/06/1995;;;Nominativa;Real;Permutável;44;0,;0,;0;0;0;0;0;0;0;0;R$;11.727,040000;R$;0,000000;23/09/2003;IGP-M;Correção Monetária;Não Padrão - SND;0;DC;0;0,00;0,000;-;0,0000% 000;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;SEM BANCO LIQUIDANTE/MANDATARIO;APORTE DTVM LTDA.;;ITAU UNIBANCO S.A.;6.35E+11;N; n ;
